1.715e-06,4.5325e-06,2.94e-06,8.575e-07,3.0625e-06,4.2385e-06,2.8175e-06,3.5035e-06,
2.8175e-06,1.225e-06,2.695e-06,4.41e-06,2.94e-06,1.715e-06,4.2875e-06,1.96e-06,
2.94e-06,8.575e-07,3.0625e-06,4.2385e-06,2.8175e-06,3.43e-06,2.891e-06,3.185e-06,
3.087e-06,2.45e-07,2.989e-06,3.92e-06,3.3075e-06,4.9e-07,2.8175e-06,3.92e-06,
2.94e-06,8.575e-07,3.0625e-06,3.92e-06,3.3075e-06,4.2385e-06,3.675e-06,1.813e-06,
2.695e-06,4.41e-06,2.94e-06,3.087e-06,2.45e-07,4.9e-07,2.8175e-06,4.2875e-06,
3.0625e-06,4.2385e-06,1.715e-06,2.8175e-06,3.92e-06,1.715e-06,3.43e-06,3.087e-06,
4.41e-06,2.94e-06,1.715e-06,2.94e-06,2.8175e-06,1.715e-06,9.8e-07,3.92e-06,
4.165e-06,2.891e-06,3.5525e-06,1.5925e-06,3.3075e-06,2.8175e-06,4.2875e-06,1.813e-06,
3.92e-06,4.9e-07,4.41e-06,2.8175e-06,3.0625e-06,3.92e-06,3.3075e-06,8.575e-07,
